day,gamma_x,gamma_y,gamma_magnitude,v_raw,r_raw,f_raw,a_raw,S_raw,v_norm,r_norm,f_norm,a_norm,S_norm,notes
66,6.499999999999993,6.499999999999993,9.192388155425109,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
67,6.5999999999999925,6.5999999999999925,9.333809511662418,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
68,6.699999999999992,6.699999999999992,9.475230867899725,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
69,6.799999999999992,6.799999999999992,9.616652224137034,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
70,6.8999999999999915,6.8999999999999915,9.758073580374344,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
71,6.999999999999991,6.999999999999991,9.899494936611653,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
72,7.099999999999991,7.099999999999991,10.040916292848962,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
73,7.19999999999999,7.19999999999999,10.182337649086271,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
74,7.29999999999999,7.29999999999999,10.32375900532358,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
75,7.39999999999999,7.39999999999999,10.465180361560888,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
76,7.499999999999989,7.499999999999989,10.606601717798197,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
77,7.599999999999989,7.599999999999989,10.748023074035506,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
78,7.699999999999989,7.699999999999989,10.889444430272816,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
79,7.799999999999988,7.799999999999988,11.030865786510125,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
80,7.899999999999988,7.899999999999988,11.172287142747434,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
81,7.999999999999988,7.999999999999988,11.313708498984743,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
82,8.099999999999987,8.099999999999987,11.45512985522205,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
83,8.199999999999987,8.199999999999987,11.59655121145936,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
84,8.299999999999986,8.299999999999986,11.73797256769667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
85,8.399999999999986,8.399999999999986,11.879393923933979,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
86,8.499999999999986,8.499999999999986,12.020815280171288,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
87,8.599999999999985,8.599999999999985,12.162236636408597,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
88,8.699999999999985,8.699999999999985,12.303657992645906,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
89,8.799999999999985,8.799999999999985,12.445079348883215,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
90,8.899999999999984,8.899999999999984,12.586500705120525,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
