sample_id,gamma_x,gamma_y,gamma_mag,v,r,f,a,S,b_0,beta_S,s_S,W,L_magnitude
80,-0.3,0.3,0.4242640687119285,0.1,0.1,0.5,0.9,40,0.6,2.4572856110069257,31.792517110146417,0.37079430173739764,0.15731469911030682
81,-1.5,2.0,2.5,0.3,0.7,0.3,0.3,5,0.4,1.78024525166799,18.521815003185402,0.33459734999842333,0.8364933749960584
81,-0.3,0.3,0.4242640687119285,0.3,0.7,0.3,0.3,5,0.4,1.78024525166799,18.521815003185402,0.33459734999842333,0.14195763309056028
82,-1.5,2.0,2.5,0.7,0.9,0.5,0.1,0,0.8,3.2406191027069293,32.60199420248059,1.6077263711625571,4.019315927906392
82,-0.3,0.3,0.4242640687119285,0.7,0.9,0.5,0.1,0,0.8,3.2406191027069293,32.60199420248059,1.6077263711625571,0.6821005316048906
83,-1.5,2.0,2.5,0.5,0.7,0.3,0.3,5,0.2,0.49612202254986615,5.1873746101186455,0.5837495735074916,1.4593739337687288
83,-0.3,0.3,0.4242640687119285,0.5,0.7,0.3,0.3,5,0.2,0.49612202254986615,5.1873746101186455,0.5837495735074916,0.24766396916514136
84,-1.5,2.0,2.5,0.3,0.7,0.1,0.1,20,0.2,0.7311818543733726,7.747603118288211,0.019113277783584372,0.04778319445896093
84,-0.3,0.3,0.4242640687119285,0.3,0.7,0.1,0.1,20,0.2,0.7311818543733726,7.747603118288211,0.019113277783584372,0.008109076998884817
85,-1.5,2.0,2.5,0.7,0.3,0.1,0.3,0,0.6,2.132471955703732,16.146531660115823,0.06237336589405899,0.15593341473514746
85,-0.3,0.3,0.4242640687119285,0.7,0.3,0.1,0.3,0,0.6,2.132471955703732,16.146531660115823,0.06237336589405899,0.0264627779934713
86,-1.5,2.0,2.5,0.9,0.3,0.9,0.5,10,0.4,1.113794992162996,11.288797219106492,16.432267218798923,41.08066804699731
86,-0.3,0.3,0.4242640687119285,0.9,0.3,0.9,0.5,10,0.4,1.113794992162996,11.288797219106492,16.432267218798923,6.971620548409277
87,-1.5,2.0,2.5,0.5,0.7,0.7,0.1,10,0.4,1.7728540822963164,19.731103492701045,1.183377261760479,2.9584431544011975
87,-0.3,0.3,0.4242640687119285,0.5,0.7,0.7,0.1,10,0.4,1.7728540822963164,19.731103492701045,1.183377261760479,0.5020644518956816
